V Mag,Proper name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.79
",b'Dubhe',b'\xce\xb1 UMa',"120
","G9
","4.25
","30
","300
"
"1.79
",b'Dubhe',b'\xce\xb1 UMa',"120
","G9
","4.25
","30
","300
"
"1.79
",b'Dubhe',b'\xce\xb1 UMa',"120
","G9
","4.25
","30
","300
"
"1.79
",b'Dubhe',b'\xce\xb1 UMa',"120
","G9
","4.25
","30
","300
"
"1.79
",b'Dubhe',b'\xce\xb1 UMa',"120
","G9
","4.25
","30
","300
"
"1.79
",b'Dubhe',b'\xce\xb1 UMa',"120
","G9
","4.25
","30
","300
"
"1.79
",b'Dubhe',b'\xce\xb1 UMa',"120
","G9
","4.25
","30
","300
"
"1.79
",b'Dubhe',b'\xce\xb1 UMa',"120
","G9
","4.25
","30
","300
"
"1.80
",b'Mirfak',b'\xce\xb1 Per',"590
","F5
","8.5
","68
","5,000
"
"1.80
",b'Mirfak',b'\xce\xb1 Per',"590
","F5
","8.5
","68
","5,000
"
"1.80
",b'Mirfak',b'\xce\xb1 Per',"590
","F5
","8.5
","68
","5,000
"
"1.80
",b'Mirfak',b'\xce\xb1 Per',"590
","F5
","8.5
","68
","5,000
"
"1.80
",b'Mirfak',b'\xce\xb1 Per',"590
","F5
","8.5
","68
","5,000
"
"1.80
",b'Mirfak',b'\xce\xb1 Per',"590
","F5
","8.5
","68
","5,000
"
"1.80
",b'Mirfak',b'\xce\xb1 Per',"590
","F5
","8.5
","68
","5,000
"
"1.80
",b'Mirfak',b'\xce\xb1 Per',"590
","F5
","8.5
","68
","5,000
"
"1.82
",b'Wezen',b'\xce\xb4 CMa',"1,600
","F8
","17
","200
","82,000
"
"1.82
",b'Wezen',b'\xce\xb4 CMa',"1,600
","F8
","17
","200
","82,000
"
"1.82
",b'Wezen',b'\xce\xb4 CMa',"1,600
","F8
","17
","200
","82,000
"
"1.82
",b'Wezen',b'\xce\xb4 CMa',"1,600
","F8
","17
","200
","82,000
"
"1.82
",b'Wezen',b'\xce\xb4 CMa',"1,600
","F8
","17
","200
","82,000
"
"1.82
",b'Wezen',b'\xce\xb4 CMa',"1,600
","F8
","17
","200
","82,000
"
"1.82
",b'Wezen',b'\xce\xb4 CMa',"1,600
","F8
","17
","200
","82,000
"
"1.82
",b'Wezen',b'\xce\xb4 CMa',"1,600
","F8
","17
","200
","82,000
"
"1.84
",b'Sargas',b'\xce\xb8 Sco',"270
","F0
","5.7
","26
","1,800
"
"1.84
",b'Sargas',b'\xce\xb8 Sco',"270
","F0
","5.7
","26
","1,800
"
"1.84
",b'Sargas',b'\xce\xb8 Sco',"270
","F0
","5.7
","26
","1,800
"
"1.84
",b'Sargas',b'\xce\xb8 Sco',"270
","F0
","5.7
","26
","1,800
"
"1.84
",b'Sargas',b'\xce\xb8 Sco',"270
","F0
","5.7
","26
","1,800
"
"1.84
",b'Sargas',b'\xce\xb8 Sco',"270
","F0
","5.7
","26
","1,800
"
"1.84
",b'Sargas',b'\xce\xb8 Sco',"270
","F0
","5.7
","26
","1,800
"
"1.84
",b'Sargas',b'\xce\xb8 Sco',"270
","F0
","5.7
","26
","1,800
"
"1.85
",b'Kaus Australis',b'\xce\xb5 Sgr',"140
","B9.5
","3.5
","6.8
","360
"
"1.85
",b'Kaus Australis',b'\xce\xb5 Sgr',"140
","B9.5
","3.5
","6.8
","360
"
"1.85
",b'Kaus Australis',b'\xce\xb5 Sgr',"140
","B9.5
","3.5
","6.8
","360
"
"1.85
",b'Kaus Australis',b'\xce\xb5 Sgr',"140
","B9.5
","3.5
","6.8
","360
"
"1.85
",b'Kaus Australis',b'\xce\xb5 Sgr',"140
","B9.5
","3.5
","6.8
","360
"
"1.85
",b'Kaus Australis',b'\xce\xb5 Sgr',"140
","B9.5
","3.5
","6.8
","360
"
"1.85
",b'Kaus Australis',b'\xce\xb5 Sgr',"140
","B9.5
","3.5
","6.8
","360
"
"1.85
",b'Kaus Australis',b'\xce\xb5 Sgr',"140
","B9.5
","3.5
","6.8
","360
"
"1.86
",b'Avior',b'\xce\xb5 Car',"630
","K3
","9.0
","130
","60,000
"
"1.86
",b'Avior',b'\xce\xb5 Car',"630
","K3
","9.0
","130
","60,000
"
"1.86
",b'Avior',b'\xce\xb5 Car',"630
","K3
","9.0
","130
","60,000
"
"1.86
",b'Avior',b'\xce\xb5 Car',"630
","K3
","9.0
","130
","60,000
"
"1.86
",b'Avior',b'\xce\xb5 Car',"630
","K3
","9.0
","130
","60,000
"
"1.86
",b'Avior',b'\xce\xb5 Car',"630
","K3
","9.0
","130
","60,000
"
"1.86
",b'Avior',b'\xce\xb5 Car',"630
","K3
","9.0
","130
","60,000
"
"1.86
",b'Avior',b'\xce\xb5 Car',"630
","K3
","9.0
","130
","60,000
"
"1.86
",b'Alkaid',b'\xce\xb7 UMa',"104
","B3
","6.1
","3.4
","1,350
"
"1.86
",b'Alkaid',b'\xce\xb7 UMa',"104
","B3
","6.1
","3.4
","1,350
"
"1.86
",b'Alkaid',b'\xce\xb7 UMa',"104
","B3
","6.1
","3.4
","1,350
"
"1.86
",b'Alkaid',b'\xce\xb7 UMa',"104
","B3
","6.1
","3.4
","1,350
"
"1.86
",b'Alkaid',b'\xce\xb7 UMa',"104
","B3
","6.1
","3.4
","1,350
"
"1.86
",b'Alkaid',b'\xce\xb7 UMa',"104
","B3
","6.1
","3.4
","1,350
"
"1.86
",b'Alkaid',b'\xce\xb7 UMa',"104
","B3
","6.1
","3.4
","1,350
"
"1.86
",b'Alkaid',b'\xce\xb7 UMa',"104
","B3
","6.1
","3.4
","1,350
"
"1.90
",b'Menkalinan',b'\xce\xb2 Aur',"81
","A1
","2.39
","2.77
","50
"
"1.90
",b'Menkalinan',b'\xce\xb2 Aur',"81
","A1
","2.39
","2.77
","50
"
"1.90
",b'Menkalinan',b'\xce\xb2 Aur',"81
","A1
","2.39
","2.77
","50
"
"1.90
",b'Menkalinan',b'\xce\xb2 Aur',"81
","A1
","2.39
","2.77
","50
"
"1.90
",b'Menkalinan',b'\xce\xb2 Aur',"81
","A1
","2.39
","2.77
","50
"
"1.90
",b'Menkalinan',b'\xce\xb2 Aur',"81
","A1
","2.39
","2.77
","50
"
"1.90
",b'Menkalinan',b'\xce\xb2 Aur',"81
","A1
","2.39
","2.77
","50
"
"1.90
",b'Menkalinan',b'\xce\xb2 Aur',"81
","A1
","2.39
","2.77
","50
"
"1.91
",b'Atria\n',b'\xce\xb1 TrA',"390
","K2
","7
","92
","5,500
"
"1.91
",b'Atria\n',b'\xce\xb1 TrA',"390
","K2
","7
","92
","5,500
"
"1.91
",b'Atria\n',b'\xce\xb1 TrA',"390
","K2
","7
","92
","5,500
"
"1.91
",b'Atria\n',b'\xce\xb1 TrA',"390
","K2
","7
","92
","5,500
"
"1.91
",b'Atria\n',b'\xce\xb1 TrA',"390
","K2
","7
","92
","5,500
"
"1.91
",b'Atria\n',b'\xce\xb1 TrA',"390
","K2
","7
","92
","5,500
"
"1.91
",b'Atria\n',b'\xce\xb1 TrA',"390
","K2
","7
","92
","5,500
"
"1.91
",b'Atria\n',b'\xce\xb1 TrA',"390
","K2
","7
","92
","5,500
"
"1.92
",b'Alhena',b'\xce\xb3 Gem',"109
","A1.5
","2.8
","3.3
","120
"
"1.92
",b'Alhena',b'\xce\xb3 Gem',"109
","A1.5
","2.8
","3.3
","120
"
"1.92
",b'Alhena',b'\xce\xb3 Gem',"109
","A1.5
","2.8
","3.3
","120
"
"1.92
",b'Alhena',b'\xce\xb3 Gem',"109
","A1.5
","2.8
","3.3
","120
"
"1.92
",b'Alhena',b'\xce\xb3 Gem',"109
","A1.5
","2.8
","3.3
","120
"
"1.92
",b'Alhena',b'\xce\xb3 Gem',"109
","A1.5
","2.8
","3.3
","120
"
"1.92
",b'Alhena',b'\xce\xb3 Gem',"109
","A1.5
","2.8
","3.3
","120
"
"1.92
",b'Alhena',b'\xce\xb3 Gem',"109
","A1.5
","2.8
","3.3
","120
"
"1.94
",b'Peacock\n',b'\xce\xb1 Pav',"180
","B3
","5.9
","4.8
","2,200
"
"1.94
",b'Peacock\n',b'\xce\xb1 Pav',"180
","B3
","5.9
","4.8
","2,200
"
"1.94
",b'Peacock\n',b'\xce\xb1 Pav',"180
","B3
","5.9
","4.8
","2,200
"
"1.94
",b'Peacock\n',b'\xce\xb1 Pav',"180
","B3
","5.9
","4.8
","2,200
"
"1.94
",b'Peacock\n',b'\xce\xb1 Pav',"180
","B3
","5.9
","4.8
","2,200
"
"1.94
",b'Peacock\n',b'\xce\xb1 Pav',"180
","B3
","5.9
","4.8
","2,200
"
"1.94
",b'Peacock\n',b'\xce\xb1 Pav',"180
","B3
","5.9
","4.8
","2,200
"
"1.94
",b'Peacock\n',b'\xce\xb1 Pav',"180
","B3
","5.9
","4.8
","2,200
"
"1.96
",b'[2]',b'\xce\xb4 Vel',"80
","A1
","2.4
","2.9
","90
"
"1.96
",b'[2]',b'\xce\xb4 Vel',"80
","A1
","2.4
","2.9
","90
"
"1.96
",b'[2]',b'\xce\xb4 Vel',"80
","A1
","2.4
","2.9
","90
"
"1.96
",b'[2]',b'\xce\xb4 Vel',"80
","A1
","2.4
","2.9
","90
"
"1.96
",b'[2]',b'\xce\xb4 Vel',"80
","A1
","2.4
","2.9
","90
"
"1.96
",b'[2]',b'\xce\xb4 Vel',"80
","A1
","2.4
","2.9
","90
"
"1.96
",b'[2]',b'\xce\xb4 Vel',"80
","A1
","2.4
","2.9
","90
"
"1.96
",b'[2]',b'\xce\xb4 Vel',"80
","A1
","2.4
","2.9
","90
"
"1.98
",b'Mirzam',b'\xce\xb2 CMa',"500
","B1
","13.5
","10
","27,000
"
"1.98
",b'Mirzam',b'\xce\xb2 CMa',"500
","B1
","13.5
","10
","27,000
"
"1.98
",b'Mirzam',b'\xce\xb2 CMa',"500
","B1
","13.5
","10
","27,000
"
"1.98
",b'Mirzam',b'\xce\xb2 CMa',"500
","B1
","13.5
","10
","27,000
"
"1.98
",b'Mirzam',b'\xce\xb2 CMa',"500
","B1
","13.5
","10
","27,000
"
"1.98
",b'Mirzam',b'\xce\xb2 CMa',"500
","B1
","13.5
","10
","27,000
"
"1.98
",b'Mirzam',b'\xce\xb2 CMa',"500
","B1
","13.5
","10
","27,000
"
"1.98
",b'Mirzam',b'\xce\xb2 CMa',"500
","B1
","13.5
","10
","27,000
"
"1.98
",b'Polaris',b'\xce\xb1 UMi\n',"430
","F8
","5.4
","39
","2,500
"
"1.98
",b'Polaris',b'\xce\xb1 UMi\n',"430
","F8
","5.4
","39
","2,500
"
"1.98
",b'Polaris',b'\xce\xb1 UMi\n',"430
","F8
","5.4
","39
","2,500
"
"1.98
",b'Polaris',b'\xce\xb1 UMi\n',"430
","F8
","5.4
","39
","2,500
"
"1.98
",b'Polaris',b'\xce\xb1 UMi\n',"430
","F8
","5.4
","39
","2,500
"
"1.98
",b'Polaris',b'\xce\xb1 UMi\n',"430
","F8
","5.4
","39
","2,500
"
"1.98
",b'Polaris',b'\xce\xb1 UMi\n',"430
","F8
","5.4
","39
","2,500
"
"1.98
",b'Polaris',b'\xce\xb1 UMi\n',"430
","F8
","5.4
","39
","2,500
"
"2.00
",b'Alphard',b'\xce\xb1 Hya\n',"180
","K3
","3.0
","50
","780
"
"2.00
",b'Alphard',b'\xce\xb1 Hya\n',"180
","K3
","3.0
","50
","780
"
"2.00
",b'Alphard',b'\xce\xb1 Hya\n',"180
","K3
","3.0
","50
","780
"
"2.00
",b'Alphard',b'\xce\xb1 Hya\n',"180
","K3
","3.0
","50
","780
"
"2.00
",b'Alphard',b'\xce\xb1 Hya\n',"180
","K3
","3.0
","50
","780
"
"2.00
",b'Alphard',b'\xce\xb1 Hya\n',"180
","K3
","3.0
","50
","780
"
"2.00
",b'Alphard',b'\xce\xb1 Hya\n',"180
","K3
","3.0
","50
","780
"
"2.00
",b'Alphard',b'\xce\xb1 Hya\n',"180
","K3
","3.0
","50
","780
"
"2.23
",b'Mintaka',b'\xce\xb4 Ori\n',"1200
","O9.5
","24
","16.5
","190,000
"
"2.23
",b'Mintaka',b'\xce\xb4 Ori\n',"1200
","O9.5
","24
","16.5
","190,000
"
"2.23
",b'Mintaka',b'\xce\xb4 Ori\n',"1200
","O9.5
","24
","16.5
","190,000
"
"2.23
",b'Mintaka',b'\xce\xb4 Ori\n',"1200
","O9.5
","24
","16.5
","190,000
"
"2.23
",b'Mintaka',b'\xce\xb4 Ori\n',"1200
","O9.5
","24
","16.5
","190,000
"
"2.23
",b'Mintaka',b'\xce\xb4 Ori\n',"1200
","O9.5
","24
","16.5
","190,000
"
"2.23
",b'Mintaka',b'\xce\xb4 Ori\n',"1200
","O9.5
","24
","16.5
","190,000
"
"2.23
",b'Mintaka',b'\xce\xb4 Ori\n',"1200
","O9.5
","24
","16.5
","190,000
"
"2.42
",b'Scheat',b'\xce\xb2 Peg',"196
","M2.5
","2.1
","95
","1,500
"
"2.42
",b'Scheat',b'\xce\xb2 Peg',"196
","M2.5
","2.1
","95
","1,500
"
"2.42
",b'Scheat',b'\xce\xb2 Peg',"196
","M2.5
","2.1
","95
","1,500
"
"2.42
",b'Scheat',b'\xce\xb2 Peg',"196
","M2.5
","2.1
","95
","1,500
"
"2.42
",b'Scheat',b'\xce\xb2 Peg',"196
","M2.5
","2.1
","95
","1,500
"
"2.42
",b'Scheat',b'\xce\xb2 Peg',"196
","M2.5
","2.1
","95
","1,500
"
"2.42
",b'Scheat',b'\xce\xb2 Peg',"196
","M2.5
","2.1
","95
","1,500
"
"2.42
",b'Scheat',b'\xce\xb2 Peg',"196
","M2.5
","2.1
","95
","1,500
"
"2.98
",b'Almaaz',b'\xce\xb5 Aur',"653
","F0
","15
","140
","43,000
"
"2.98
",b'Almaaz',b'\xce\xb5 Aur',"653
","F0
","15
","140
","43,000
"
"2.98
",b'Almaaz',b'\xce\xb5 Aur',"653
","F0
","15
","140
","43,000
"
"2.98
",b'Almaaz',b'\xce\xb5 Aur',"653
","F0
","15
","140
","43,000
"
"2.98
",b'Almaaz',b'\xce\xb5 Aur',"653
","F0
","15
","140
","43,000
"
"2.98
",b'Almaaz',b'\xce\xb5 Aur',"653
","F0
","15
","140
","43,000
"
"2.98
",b'Almaaz',b'\xce\xb5 Aur',"653
","F0
","15
","140
","43,000
"
"2.98
",b'Almaaz',b'\xce\xb5 Aur',"653
","F0
","15
","140
","43,000
"
"3.35
",b'Rasalgethi',b'\xce\xb1 Her',"360
","M5
","2.8
","280
","8,300
"
"3.35
",b'Rasalgethi',b'\xce\xb1 Her',"360
","M5
","2.8
","280
","8,300
"
"3.35
",b'Rasalgethi',b'\xce\xb1 Her',"360
","M5
","2.8
","280
","8,300
"
"3.35
",b'Rasalgethi',b'\xce\xb1 Her',"360
","M5
","2.8
","280
","8,300
"
"3.35
",b'Rasalgethi',b'\xce\xb1 Her',"360
","M5
","2.8
","280
","8,300
"
"3.35
",b'Rasalgethi',b'\xce\xb1 Her',"360
","M5
","2.8
","280
","8,300
"
"3.35
",b'Rasalgethi',b'\xce\xb1 Her',"360
","M5
","2.8
","280
","8,300
"
"3.35
",b'Rasalgethi',b'\xce\xb1 Her',"360
","M5
","2.8
","280
","8,300
"
"3.50
",b'Tau Ceti',b'\xcf\x84 Cet\n',"11.9
","G8
","0.783
","0.893
","0.52
"
"3.50
",b'Tau Ceti',b'\xcf\x84 Cet\n',"11.9
","G8
","0.783
","0.893
","0.52
"
"3.50
",b'Tau Ceti',b'\xcf\x84 Cet\n',"11.9
","G8
","0.783
","0.893
","0.52
"
"3.50
",b'Tau Ceti',b'\xcf\x84 Cet\n',"11.9
","G8
","0.783
","0.893
","0.52
"
"3.50
",b'Tau Ceti',b'\xcf\x84 Cet\n',"11.9
","G8
","0.783
","0.893
","0.52
"
"3.50
",b'Tau Ceti',b'\xcf\x84 Cet\n',"11.9
","G8
","0.783
","0.893
","0.52
"
"3.50
",b'Tau Ceti',b'\xcf\x84 Cet\n',"11.9
","G8
","0.783
","0.893
","0.52
"
"3.50
",b'Tau Ceti',b'\xcf\x84 Cet\n',"11.9
","G8
","0.783
","0.893
","0.52
"
"3.56
",b'Delta Pavonis',b'\xce\xb4 Pav\n',"19.92
","G8
","0.991
","1.22
","1.22
"
"3.56
",b'Delta Pavonis',b'\xce\xb4 Pav\n',"19.92
","G8
","0.991
","1.22
","1.22
"
"3.56
",b'Delta Pavonis',b'\xce\xb4 Pav\n',"19.92
","G8
","0.991
","1.22
","1.22
"
"3.56
",b'Delta Pavonis',b'\xce\xb4 Pav\n',"19.92
","G8
","0.991
","1.22
","1.22
"
"3.56
",b'Delta Pavonis',b'\xce\xb4 Pav\n',"19.92
","G8
","0.991
","1.22
","1.22
"
"3.56
",b'Delta Pavonis',b'\xce\xb4 Pav\n',"19.92
","G8
","0.991
","1.22
","1.22
"
"3.56
",b'Delta Pavonis',b'\xce\xb4 Pav\n',"19.92
","G8
","0.991
","1.22
","1.22
"
"3.56
",b'Delta Pavonis',b'\xce\xb4 Pav\n',"19.92
","G8
","0.991
","1.22
","1.22
"
"3.74
",b'Ran',b'\xce\xb5 Eri\n',"10.48
","K2
","0.82
","0.74
","0.34
"
"3.74
",b'Ran',b'\xce\xb5 Eri\n',"10.48
","K2
","0.82
","0.74
","0.34
"
"3.74
",b'Ran',b'\xce\xb5 Eri\n',"10.48
","K2
","0.82
","0.74
","0.34
"
"3.74
",b'Ran',b'\xce\xb5 Eri\n',"10.48
","K2
","0.82
","0.74
","0.34
"
"3.74
",b'Ran',b'\xce\xb5 Eri\n',"10.48
","K2
","0.82
","0.74
","0.34
"
"3.74
",b'Ran',b'\xce\xb5 Eri\n',"10.48
","K2
","0.82
","0.74
","0.34
"
"3.74
",b'Ran',b'\xce\xb5 Eri\n',"10.48
","K2
","0.82
","0.74
","0.34
"
"3.74
",b'Ran',b'\xce\xb5 Eri\n',"10.48
","K2
","0.82
","0.74
","0.34
"
"3.83
",b'V382 Carinae',b'Car\n',"8,900
","G2
","20
","485
","212,000
"
"3.83
",b'V382 Carinae',b'Car\n',"8,900
","G2
","20
","485
","212,000
"
"3.83
",b'V382 Carinae',b'Car\n',"8,900
","G2
","20
","485
","212,000
"
"3.83
",b'V382 Carinae',b'Car\n',"8,900
","G2
","20
","485
","212,000
"
"3.83
",b'V382 Carinae',b'Car\n',"8,900
","G2
","20
","485
","212,000
"
"3.83
",b'V382 Carinae',b'Car\n',"8,900
","G2
","20
","485
","212,000
"
"3.83
",b'V382 Carinae',b'Car\n',"8,900
","G2
","20
","485
","212,000
"
"3.83
",b'V382 Carinae',b'Car\n',"8,900
","G2
","20
","485
","212,000
"
"4
",b'Eta Carinae',b'\xce\xb7 Car\n',"7,500
","O
","100
","60–881
","5,000,000
"
"4
",b'Eta Carinae',b'\xce\xb7 Car\n',"7,500
","O
","100
","60–881
","5,000,000
"
"4
",b'Eta Carinae',b'\xce\xb7 Car\n',"7,500
","O
","100
","60–881
","5,000,000
"
"4
",b'Eta Carinae',b'\xce\xb7 Car\n',"7,500
","O
","100
","60–881
","5,000,000
"
"4
",b'Eta Carinae',b'\xce\xb7 Car\n',"7,500
","O
","100
","60–881
","5,000,000
"
"4
",b'Eta Carinae',b'\xce\xb7 Car\n',"7,500
","O
","100
","60–881
","5,000,000
"
"4
",b'Eta Carinae',b'\xce\xb7 Car\n',"7,500
","O
","100
","60–881
","5,000,000
"
"4
",b'Eta Carinae',b'\xce\xb7 Car\n',"7,500
","O
","100
","60–881
","5,000,000
"
"4.07
",b'Delta Cephei',b'\xce\xb4 Cep\n',"887
","F5
","4.5
","44.5
","2,000
"
"4.07
",b'Delta Cephei',b'\xce\xb4 Cep\n',"887
","F5
","4.5
","44.5
","2,000
"
"4.07
",b'Delta Cephei',b'\xce\xb4 Cep\n',"887
","F5
","4.5
","44.5
","2,000
"
"4.07
",b'Delta Cephei',b'\xce\xb4 Cep\n',"887
","F5
","4.5
","44.5
","2,000
"
"4.07
",b'Delta Cephei',b'\xce\xb4 Cep\n',"887
","F5
","4.5
","44.5
","2,000
"
"4.07
",b'Delta Cephei',b'\xce\xb4 Cep\n',"887
","F5
","4.5
","44.5
","2,000
"
"4.07
",b'Delta Cephei',b'\xce\xb4 Cep\n',"887
","F5
","4.5
","44.5
","2,000
"
"4.07
",b'Delta Cephei',b'\xce\xb4 Cep\n',"887
","F5
","4.5
","44.5
","2,000
"
"4.08
",b'Mu Cephei',b'\xce\xbc Cep\n',"6,000
","M2
","19.2
","972
","135,000
"
"4.08
",b'Mu Cephei',b'\xce\xbc Cep\n',"6,000
","M2
","19.2
","972
","135,000
"
"4.08
",b'Mu Cephei',b'\xce\xbc Cep\n',"6,000
","M2
","19.2
","972
","135,000
"
"4.08
",b'Mu Cephei',b'\xce\xbc Cep\n',"6,000
","M2
","19.2
","972
","135,000
"
"4.08
",b'Mu Cephei',b'\xce\xbc Cep\n',"6,000
","M2
","19.2
","972
","135,000
"
"4.08
",b'Mu Cephei',b'\xce\xbc Cep\n',"6,000
","M2
","19.2
","972
","135,000
"
"4.08
",b'Mu Cephei',b'\xce\xbc Cep\n',"6,000
","M2
","19.2
","972
","135,000
"
"4.08
",b'Mu Cephei',b'\xce\xbc Cep\n',"6,000
","M2
","19.2
","972
","135,000
"
"4.09
",b'Titawin',b'\xcf\x85 And\n',"44.25
","F8
","1.27
","1.48
","3.57
"
"4.09
",b'Titawin',b'\xcf\x85 And\n',"44.25
","F8
","1.27
","1.48
","3.57
"
"4.09
",b'Titawin',b'\xcf\x85 And\n',"44.25
","F8
","1.27
","1.48
","3.57
"
"4.09
",b'Titawin',b'\xcf\x85 And\n',"44.25
","F8
","1.27
","1.48
","3.57
"
"4.09
",b'Titawin',b'\xcf\x85 And\n',"44.25
","F8
","1.27
","1.48
","3.57
"
"4.09
",b'Titawin',b'\xcf\x85 And\n',"44.25
","F8
","1.27
","1.48
","3.57
"
"4.09
",b'Titawin',b'\xcf\x85 And\n',"44.25
","F8
","1.27
","1.48
","3.57
"
"4.09
",b'Titawin',b'\xcf\x85 And\n',"44.25
","F8
","1.27
","1.48
","3.57
"
"4.1
",b'Rho Cassiopeiae',b'\xcf\x81 Cas\n',"8,154
","G2
","22
","636-981
","347,000 - 530,000
"
"4.1
",b'Rho Cassiopeiae',b'\xcf\x81 Cas\n',"8,154
","G2
","22
","636-981
","347,000 - 530,000
"
"4.1
",b'Rho Cassiopeiae',b'\xcf\x81 Cas\n',"8,154
","G2
","22
","636-981
","347,000 - 530,000
"
"4.1
",b'Rho Cassiopeiae',b'\xcf\x81 Cas\n',"8,154
","G2
","22
","636-981
","347,000 - 530,000
"
"4.1
",b'Rho Cassiopeiae',b'\xcf\x81 Cas\n',"8,154
","G2
","22
","636-981
","347,000 - 530,000
"
"4.1
",b'Rho Cassiopeiae',b'\xcf\x81 Cas\n',"8,154
","G2
","22
","636-981
","347,000 - 530,000
"
"4.1
",b'Rho Cassiopeiae',b'\xcf\x81 Cas\n',"8,154
","G2
","22
","636-981
","347,000 - 530,000
"
"4.1
",b'Rho Cassiopeiae',b'\xcf\x81 Cas\n',"8,154
","G2
","22
","636-981
","347,000 - 530,000
"
"4.82
",b'P Cygni',b'P Cyg\n',"5,545
","B1
","30
","76
","610,000
"
"4.82
",b'P Cygni',b'P Cyg\n',"5,545
","B1
","30
","76
","610,000
"
"4.82
",b'P Cygni',b'P Cyg\n',"5,545
","B1
","30
","76
","610,000
"
"4.82
",b'P Cygni',b'P Cyg\n',"5,545
","B1
","30
","76
","610,000
"
"4.82
",b'P Cygni',b'P Cyg\n',"5,545
","B1
","30
","76
","610,000
"
"4.82
",b'P Cygni',b'P Cyg\n',"5,545
","B1
","30
","76
","610,000
"
"4.82
",b'P Cygni',b'P Cyg\n',"5,545
","B1
","30
","76
","610,000
"
"4.82
",b'P Cygni',b'P Cyg\n',"5,545
","B1
","30
","76
","610,000
"
"4.86
",b'La Superba',b'CVn\n',"1,000
","C5
","
","129 - 342
","2,472 - 5,800
"
"4.86
",b'La Superba',b'CVn\n',"1,000
","C5
","
","129 - 342
","2,472 - 5,800
"
"4.86
",b'La Superba',b'CVn\n',"1,000
","C5
","
","129 - 342
","2,472 - 5,800
"
"4.86
",b'La Superba',b'CVn\n',"1,000
","C5
","
","129 - 342
","2,472 - 5,800
"
"4.86
",b'La Superba',b'CVn\n',"1,000
","C5
","
","129 - 342
","2,472 - 5,800
"
"4.86
",b'La Superba',b'CVn\n',"1,000
","C5
","
","129 - 342
","2,472 - 5,800
"
"4.86
",b'La Superba',b'CVn\n',"1,000
","C5
","
","129 - 342
","2,472 - 5,800
"
"4.86
",b'La Superba',b'CVn\n',"1,000
","C5
","
","129 - 342
","2,472 - 5,800
"
"4.91
",b'VV Cephei',b'Cep\n',"4,900
","M2
","18.2
","516 - 1,050
","200,000
"
"4.91
",b'VV Cephei',b'Cep\n',"4,900
","M2
","18.2
","516 - 1,050
","200,000
"
"4.91
",b'VV Cephei',b'Cep\n',"4,900
","M2
","18.2
","516 - 1,050
","200,000
"
"4.91
",b'VV Cephei',b'Cep\n',"4,900
","M2
","18.2
","516 - 1,050
","200,000
"
"4.91
",b'VV Cephei',b'Cep\n',"4,900
","M2
","18.2
","516 - 1,050
","200,000
"
"4.91
",b'VV Cephei',b'Cep\n',"4,900
","M2
","18.2
","516 - 1,050
","200,000
"
"4.91
",b'VV Cephei',b'Cep\n',"4,900
","M2
","18.2
","516 - 1,050
","200,000
"
